Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-04-25 09:30:00-04:00,159.82000732421875,162.27999877929688,158.75,5.084505142662711,35029014,0.0,0.0
2023-04-25 10:30:00-04:00,161.49000549316406,163.47000122070312,160.60000610351562,5.094240889179006,24652826,0.0,0.0
2023-04-25 11:30:00-04:00,163.05999755859375,163.4499969482422,162.0469970703125,5.093443386555385,14678457,0.0,0.0
2023-04-25 12:30:00-04:00,163.00799560546875,163.1999969482422,161.94000244140625,5.091846564527572,12462001,0.0,0.0
2023-04-25 13:30:00-04:00,162.69459533691406,162.9499969482422,161.1999969482422,5.085619027794655,11710833,0.0,0.0
2023-04-25 14:30:00-04:00,161.67999267578125,162.61000061035156,161.52000427246094,5.085062240321186,12157961,0.0,0.0
2023-04-25 15:30:00-04:00,161.5800018310547,161.82000732421875,160.5,5.0795392537530635,7596443,0.0,0.0
2023-04-26 09:30:00-04:00,160.2899932861328,160.6699981689453,153.2100067138672,5.039356833448727,47684737,0.0,0.0
2023-04-26 10:30:00-04:00,154.33999633789062,156.3800048828125,153.9199981689453,5.042456945834876,25632615,0.0,0.0
2023-04-26 11:30:00-04:00,154.83999633789062,156.5,154.8300018310547,5.048894045376102,17208301,0.0,0.0
2023-04-26 12:30:00-04:00,155.85000610351562,157.07000732421875,155.3000030517578,5.055245903524331,15810229,0.0,0.0
2023-04-26 13:30:00-04:00,156.83999633789062,157.19000244140625,155.57000732421875,5.051841882619505,13396384,0.0,0.0
2023-04-26 14:30:00-04:00,156.30999755859375,156.4499969482422,154.1199951171875,5.043164403753055,16191548,0.0,0.0
2023-04-26 15:30:00-04:00,154.9600067138672,155.13999938964844,153.13999938964844,5.034612199505095,12579103,0.0,0.0
2023-04-27 09:30:00-04:00,152.63999938964844,156.22999572753906,152.3699951171875,5.045165564509411,36620240,0.0,0.0
2023-04-27 10:30:00-04:00,155.27000427246094,157.99000549316406,154.3800048828125,5.060187041947121,21257763,0.0,0.0
2023-04-27 11:30:00-04:00,157.63999938964844,158.5399932861328,156.97999572753906,5.061138303349675,17199255,0.0,0.0
2023-04-27 12:30:00-04:00,157.77999877929688,159.07000732421875,157.27000427246094,5.069124326809335,11946071,0.0,0.0
2023-04-27 13:30:00-04:00,159.03500366210938,160.0,159.03500366210938,5.074986305284329,12660814,0.0,0.0
2023-04-27 14:30:00-04:00,159.97000122070312,160.28500366210938,159.02999877929688,5.073359712706081,13527960,0.0,0.0
2023-04-27 15:30:00-04:00,159.7100067138672,160.47999572753906,159.35000610351562,5.076110837943923,9472737,0.0,0.0
2023-04-28 09:30:00-04:00,160.89500427246094,162.27999877929688,157.32000732421875,5.088367642636608,33808262,0.0,0.0
2023-04-28 10:30:00-04:00,162.11000061035156,163.30999755859375,160.60000610351562,5.088409618131395,21317645,0.0,0.0
2023-04-28 11:30:00-04:00,162.13499450683594,164.1898956298828,161.57000732421875,5.100719718483084,15415833,0.0,0.0
2023-04-28 12:30:00-04:00,164.1300048828125,165.0,163.86000061035156,5.100899397961592,15016730,0.0,0.0
2023-04-28 13:30:00-04:00,164.1649932861328,164.91000366210938,163.61000061035156,5.101442608838052,11932342,0.0,0.0
2023-04-28 14:30:00-04:00,164.25999450683594,164.57899475097656,163.75999450683594,5.101207557214337,11262632,0.0,0.0
2023-04-28 15:30:00-04:00,164.22999572753906,164.55999755859375,163.67999267578125,5.10199833724753,8659831,0.0,0.0
2023-05-01 09:30:00-04:00,163.1699981689453,163.27999877929688,160.27000427246094,5.089446493323736,28793808,0.0,0.0
2023-05-01 10:30:00-04:00,162.2899932861328,162.57000732421875,158.8300018310547,5.0694700567980435,20925554,0.0,0.0
